pizza_id,order_id,pizza_name_id,quantity,order_date,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_ingredients,pizza_name
1,1,hawaiian_m,2.00,1/1/2015,11:38:36,13.25,26.50,M,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza
2,2,classic_dlx_m,1.00,1/1/2015,11:57:40,16.00,16.00,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
3,3,five_cheese_l,3.00,2/1/2015,12:10:12,18.50,55.50,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
4,4,bbq_ckn_m,1.00,2/1/2015,13:15:10,14.75,14.75,M,Classic,"Grilled Chicken, BBQ Sauce, Red Onions, Cilantro, Mozzarella Cheese",The BBQ Chicken Pizza
5,5,pepperoni_xl,2.00,3/1/2015,14:20:05,19.00,38.00,XL,Classic,"Pepperoni, Mozzarella Cheese",The Pepperoni Pizza
6,6,veggie_supreme_s,1.00,3/1/2015,15:30:45,12.00,12.00,S,Veggie,"Bell Peppers, Mushrooms, Red Onions, Black Olives, Mozzarella Cheese",The Veggie Supreme Pizza
7,7,hawaiian_m,1.00,3/1/2015,16:45:20,13.25,13.25,M,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza
8,8,pepperoni_xl,3.00,4/1/2015,18:00:00,19.00,57.00,XL,Classic,"Pepperoni, Mozzarella Cheese",The Pepperoni Pizza
9,9,veggie_supreme_s,2.00,4/1/2015,19:10:10,12.00,24.00,S,Veggie,"Bell Peppers, Mushrooms, Red Onions, Black Olives, Mozzarella Cheese",The Veggie Supreme Pizza
10,10,five_cheese_l,1.00,5/1/2015,20:25:55,18.50,18.50,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
